CODIGO ; NIVEL DE ACCESO ; NOMBRE ; CATEGORIA ; DESCRIPCION CORTA ; DESCRIPCION ; IMPORTE ; ACTIVO/EN VENTA ; NOMBRE ARCHIVO IMAGEN  ; NOMBRE SKU ; COLOR ; CODIGO DE BARRAS DE FORMATO ; LONGITUD ; ANCHO ; ALTO ; ABREVIACION DE UNIDAD DE MEDIDA DE LONGITUD ; ABREVIACION DE UNIDAD DE MEDIDA DE CANTIDAD ; NIVEL DE ACCESO DEL FORMATO ; ACTUALIZAR PAR√ÅMETROS ; ACTUALIZAR GALERIA IMAGENES DE PRODUCTO ; ACTUALIZAR GALERIA IMAGENES DE FORMATO
40800        ; 100 ; Azucarero de porcelana Jardin  ; Mueble ;  ;  ; 0 ; 1 ;  ; 40800        ;  ; 8001544061016 ; 10 ; 10 ; 140 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40801        ; 100 ; Lechera de porcelana Jardin    ; Mueble ;  ;  ; 0 ; 1 ;  ; 40801        ;  ; 8001544061009 ; 7 ; 10 ; 140 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40802        ; 100 ; Entremesero con 2 platos Jardi ; Mueble ;  ;  ; 0 ; 1 ;  ; 40802        ;  ; 8001544061054 ; 28 ; 5 ; 140 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40803        ; 100 ; Tetera de porcelana Jardin     ; Mueble ;  ;  ; 0 ; 1 ;  ; 40803        ;  ; 8001544060996 ; 14 ; 15 ; 140 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40807        ; 100 ; CojÌn Jordan gris              ; Mueble ;  ;  ; 0 ; 1 ;  ; 40807        ;  ; 8435406129659 ; 50 ; 30 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40808        ; 100 ; CojÌn Jordan gris              ; Mueble ;  ;  ; 0 ; 1 ;  ; 40808        ;  ; 8435406129666 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40809        ; 100 ; CojÌn Jordan morado            ; Mueble ;  ;  ; 0 ; 1 ;  ; 40809        ;  ; 8435406129673 ; 50 ; 30 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40810        ; 100 ; CojÌn Jordan morado            ; Mueble ;  ;  ; 0 ; 1 ;  ; 40810        ;  ; 8435406129680 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40811        ; 100 ; CojÌn Jordan marrÛn            ; Mueble ;  ;  ; 0 ; 1 ;  ; 40811        ;  ; 8435406129697 ; 50 ; 30 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
40812        ; 100 ; CojÌn Jordan marrÛn            ; Mueble ;  ;  ; 0 ; 1 ;  ; 40812        ;  ; 8435406129703 ; 45 ; 45 ; 10 ; Cm ; U ; 100 ; 0 ; 0 ; 0
